id,weight,payoutMultiplier
1,8733,0
2,460,3
3,235,4
4,216,5
5,286,6
6,9,7
7,119,8
8,541,9
9,13,10
10,519,11
11,23,12
12,626,13
13,61,14
14,90,15
15,76,16
16,303,17
17,45,18
18,184,19
19,51,20
20,258,21
21,55,22
22,39,23
23,111,24
24,181,25
25,434,26
26,33,27
27,84,28
28,30,29
29,179,30
30,40,31
31,191,32
32,24,33
33,104,34
34,45,35
35,78,36
36,31,37
37,129,38
38,42,39
39,36,40
40,38,41
41,50,42
42,169,43
43,39,44
44,38,45
45,33,46
46,40,47
47,33,48
48,45,49
49,13,50
50,125,51
51,31,52
52,119,53
53,48,54
54,15,55
55,52,56
56,25,57
57,109,58
58,42,59
59,75,60
60,14,61
61,55,62
62,18,63
63,98,64
64,22,65
65,46,66
66,19,67
67,27,68
68,97,69
69,23,70
70,29,71
71,42,72
72,28,73
73,35,74
74,23,75
75,24,76
76,39,77
77,14,78
78,37,79
79,109,80
80,13,81
81,22,82
82,14,83
83,22,84
84,29,85
85,60,86
86,10,87
87,36,88
88,13,89
89,29,90
90,9,91
91,76,92
92,13,93
93,31,94
94,26,95
95,16,96
96,13,97
97,17,98
98,15,99
99,15,100
100,30,101
101,7,102
102,21,103
103,10,104
104,42,105
105,33,106
106,16,107
107,15,108
108,16,109
109,16,110
110,11,111
111,8,112
112,4,113
113,12,114
114,13,115
115,26,116
116,13,117
117,17,118
118,11,119
119,12,120
120,14,121
121,9,122
122,6,123
123,15,124
124,12,125
125,8,126
126,27,127
127,17,128
128,8,129
129,16,130
130,14,131
131,13,132
132,13,133
133,6,134
134,8,135
135,6,136
136,12,137
137,17,138
138,11,139
139,2,140
140,9,141
141,6,142
142,11,143
143,10,144
144,4,145
145,11,146
146,4,147
147,15,148
148,7,149
149,10,150
150,4,151
151,3,152
152,5,153
153,5,154
154,2,155
155,2,156
156,6,157
157,6,158
158,29,159
159,33,160
160,2,161
161,11,162
162,2,163
163,6,164
164,9,165
165,4,166
166,2,167
167,5,168
168,6,169
169,5,170
170,12,171
171,15,172
172,6,173
173,16,174
174,6,175
175,7,176
176,7,177
177,8,178
178,4,179
179,13,180
180,12,181
181,5,182
182,3,183
183,10,184
184,6,185
185,42,186
186,6,187
187,7,188
188,9,189
189,7,190
190,6,191
191,4,192
192,4,193
193,5,194
194,6,195
195,11,196
196,9,197
197,4,198
198,4,199
199,103,200
200,4,201
201,4,202
202,10,203
203,5,204
204,4,205
205,9,206
206,3,207
207,9,208
208,2,209
209,9,210
210,4,211
211,10,212
212,37,213
213,2,214
214,8,215
215,10,216
216,5,217
217,8,218
218,27,219
219,3,220
220,4,221
221,3,222
222,2,223
223,6,224
224,3,225
225,13,226
226,2,227
227,1,228
228,5,229
229,4,230
230,2,231
231,12,232
232,1,233
233,4,234
234,1,235
235,2,236
236,3,237
237,8,238
238,3,239
239,4,240
240,3,241
241,10,242
242,4,243
243,5,244
244,3,245
245,3,246
246,1,247
247,6,248
248,7,249
249,1,250
250,3,251
251,3,252
252,4,253
253,4,254
254,1,255
255,7,256
256,5,257
257,2,258
258,3,259
259,3,260
260,4,261
261,4,262
262,4,263
263,8,264
264,1,265
265,6,266
266,1,267
267,1,268
268,2,269
269,3,270
270,6,271
271,5,272
272,1,273
273,1,274
274,1,275
275,2,276
276,2,277
277,4,278
278,1,280
279,5,281
280,1,282
281,1,283
282,4,284
283,6,285
284,4,286
285,4,288
286,1,289
287,3,290
288,1,291
289,1,292
290,2,293
291,5,294
292,3,296
293,1,298
294,1,299
295,5,300
296,2,301
297,4,302
298,2,303
299,1,304
300,2,305
301,2,306
302,1,308
303,1,309
304,3,312
305,2,314
306,2,315
307,1,316
308,2,317
309,41,319
310,11,320
311,3,322
312,2,323
313,2,324
314,3,325
315,2,326
316,3,327
317,35,328
318,2,329
319,7,330
320,5,331
321,7,332
322,5,333
323,5,334
324,2,335
325,18,336
326,3,337
327,7,338
328,3,339
329,7,340
330,1,341
331,4,342
332,1,343
333,1,344
334,1,345
335,6,346
336,3,347
337,3,348
338,3,349
339,2,350
340,1,353
341,3,354
342,5,355
343,1,356
344,1,357
345,2,358
346,3,360
347,1,361
348,15,362
349,1,363
350,4,364
351,1,366
352,1,367
353,4,368
354,2,369
355,10,370
356,1,371
357,3,372
358,5,373
359,2,375
360,2,376
361,2,377
362,4,379
363,1,380
364,4,381
365,2,382
366,1,383
367,3,384
368,3,385
369,1,386
370,3,387
371,5,388
372,1,389
373,1,390
374,2,391
375,1,392
376,4,394
377,2,395
378,3,396
379,2,397
380,3,398
381,4,400
382,2,401
383,1,402
384,3,403
385,2,404
386,9,405
387,1,407
388,1,408
389,1,409
390,1,410
391,2,411
392,2,413
393,1,414
394,1,415
395,3,416
396,1,417
397,1,419
398,1,420
399,1,422
400,1,423
401,8,426
402,1,427
403,1,428
404,7,432
405,1,433
406,2,434
407,2,437
408,1,439
409,4,441
410,1,442
411,2,443
412,1,444
413,2,445
414,4,446
415,1,447
416,1,450
417,3,452
418,2,454
419,1,455
420,1,456
421,1,459
422,3,462
423,2,463
424,2,466
425,1,467
426,3,468
427,1,470
428,1,471
429,1,472
430,1,474
431,1,477
432,1,478
433,33,479
434,2,482
435,2,483
436,1,484
437,4,485
438,1,488
439,16,490
440,1,491
441,5,492
442,1,494
443,3,495
444,6,496
445,2,498
446,16,500
447,1,501
448,1,502
449,3,503
450,3,504
451,4,505
452,3,506
453,2,507
454,1,508
455,2,509
456,1,511
457,1,512
458,3,513
459,1,514
460,1,515
461,1,516
462,1,518
463,1,519
464,1,520
465,1,521
466,4,522
467,1,524
468,2,525
469,3,526
470,2,527
471,2,528
472,3,532
473,1,533
474,1,534
475,2,535
476,1,536
477,5,537
478,2,538
479,1,539
480,2,541
481,1,542
482,2,543
483,1,544
484,2,545
485,1,547
486,3,548
487,3,549
488,1,551
489,2,552
490,1,553
491,3,554
492,1,555
493,3,556
494,1,557
495,2,558
496,1,559
497,4,560
498,1,562
499,1,563
500,1,564
501,1,565
502,1,566
503,2,567
504,2,569
505,2,571
506,1,573
507,1,580
508,1,581
509,1,582
510,1,584
511,1,585
512,3,586
513,1,588
514,1,589
515,1,594
516,4,595
517,2,596
518,1,597
519,1,601
520,2,606
521,1,607
522,1,609
523,1,612
524,1,616
525,2,617
526,1,618
527,1,619
528,2,622
529,1,624
530,1,625
531,2,632
532,2,633
533,1,635
534,9,638
535,2,639
536,1,642
537,3,645
538,7,647
539,1,649
540,2,650
541,3,651
542,1,652
543,1,655
544,1,656
545,2,657
546,1,659
547,1,660
548,2,662
549,1,663
550,3,664
551,1,666
552,2,667
553,2,668
554,1,670
555,1,675
556,2,676
557,1,679
558,1,680
559,4,681
560,1,686
561,2,689
562,1,691
563,1,692
564,1,695
565,1,697
566,1,698
567,1,700
568,2,702
569,1,704
570,1,706
571,2,709
572,1,718
573,2,724
574,2,726
575,1,728
576,2,732
577,1,734
578,2,737
579,1,738
580,1,741
581,2,742
582,20,743
583,2,744
584,2,745
585,3,746
586,2,747
587,2,749
588,1,751
589,3,752
590,2,754
591,15,756
592,2,758
593,1,760
594,1,761
595,7,762
596,2,764
597,2,766
598,9,768
599,4,770
600,1,771
601,1,773
602,2,775
603,1,777
604,2,778
605,1,779
606,2,781
607,2,782
608,1,784
609,1,785
610,2,786
611,1,787
612,3,788
613,3,790
614,2,792
615,4,794
616,2,795
617,1,796
618,1,799
619,1,802
620,1,805
621,1,807
622,1,809
623,1,814
624,3,816
625,1,818
626,1,819
627,1,820
628,5,822
629,1,823
630,2,824
631,1,826
632,1,827
633,2,829
634,1,830
635,1,831
636,2,832
637,5,833
638,2,835
639,1,836
640,1,837
641,2,838
642,1,843
643,5,848
644,2,849
645,1,851
646,1,854
647,1,855
648,1,857
649,1,859
650,3,861
651,1,862
652,1,871
653,1,873
654,1,874
655,1,879
656,1,880
657,1,882
658,1,887
659,1,892
660,1,894
661,2,895
662,1,902
663,1,912
664,1,914
665,3,915
666,1,917
667,1,930
668,2,938
669,1,944
670,2,953
671,2,957
672,6,958
673,1,960
674,1,961
675,1,962
676,1,964
677,2,966
678,1,967
679,2,968
680,7,969
681,1,971
682,1,974
683,1,975
684,2,978
685,2,979
686,3,984
687,1,986
688,2,987
689,1,988
690,1,996
691,2,1000
692,1,1004
693,1,1005
694,1,1006
695,1,1010
696,1,1015
697,5,1016
698,1,1018
699,1,1023
700,1,1030
701,1,1031
702,1,1032
703,1,1033
704,1,1043
705,2,1044
706,1,1046
707,1,1047
708,2,1048
709,1,1051
710,2,1054
711,1,1056
712,1,1061
713,1,1074
714,1,1078
715,1,1082
716,3,1085
717,2,1087
718,1,1090
719,1,1094
720,1,1100
721,1,1113
722,2,1117
723,1,1122
724,1,1124
725,2,1125
726,1,1128
727,1,1132
728,1,1138
729,1,1158
730,1,1161
731,1,1170
732,1,1174
733,1,1194
734,1,1196
735,1,1201
736,1,1218
737,1,1233
738,1,1245
739,1,1249
740,1,1257
741,1,1260
742,1,1279
743,1,1282
744,1,1289
745,1,1302
746,1,1313
747,1,1324
748,1,1330
749,1,1333
750,1,1370
751,1,1375
752,1,1390
753,1,1404
754,1,1405
755,1,1437
756,1,1438
757,1,1456
758,3,1458
759,1,1462
760,1,1483
761,2,1486
762,1,1491
763,1,1508
764,1,1509
765,1,1515
766,1,1516
767,1,1520
768,3,1524
769,1,1527
770,1,1528
771,1,1530
772,1,1531
773,1,1533
774,1,1542
775,1,1544
776,1,1552
777,1,1557
778,1,1558
779,1,1566
780,1,1572
781,1,1576
782,1,1583
783,1,1598
784,6,1600
785,1,1605
786,1,1606
787,1,1608
788,2,1609
789,2,1611
790,1,1613
791,1,1621
792,1,1622
793,1,1625
794,6,1626
795,1,1628
796,1,1629
797,1,1630
798,1,1632
799,2,1634
800,1,1635
801,1,1637
802,1,1642
803,1,1643
804,1,1646
805,3,1653
806,1,1655
807,1,1656
808,1,1657
809,1,1658
810,1,1659
811,1,1662
812,1,1663
813,1,1664
814,1,1666
815,2,1669
816,1,1670
817,1,1676
818,1,1680
819,2,1681
820,1,1684
821,1,1690
822,1,1692
823,1,1696
824,1,1698
825,1,1706
826,1,1710
827,1,1713
828,1,1723
829,1,1725
830,1,1726
831,1,1733
832,1,1735
833,1,1756
834,1,1757
835,3,1760
836,1,1761
837,1,1769
838,1,1773
839,1,1779
840,1,1781
841,1,1785
842,1,1786
843,1,1796
844,1,1798
845,1,1800
846,1,1803
847,1,1809
